x,u
0,0
0.00390625,0.00379516
0.0078125,0.00768216
0.0117188,0.0116808
0.015625,0.0158113
0.0195312,0.0200946
0.0234375,0.024552
0.0273438,0.0292048
0.03125,0.0340748
0.0351562,0.0391839
0.0390625,0.044554
0.0429688,0.0502066
0.046875,0.0561632
0.0507812,0.0624447
0.0546875,0.0690716
0.0585938,0.0760635
0.0625,0.0834391
0.0664062,0.091216
0.0703125,0.0994107
0.0742188,0.108038
0.078125,0.117111
0.0820312,0.126641
0.0859375,0.136638
0.0898438,0.147108
0.09375,0.158057
0.0976562,0.169485
0.101562,0.181393
0.105469,0.193777
0.109375,0.206629
0.113281,0.21994
0.117188,0.233697
0.121094,0.247882
0.125,0.262475
0.128906,0.277452
0.132812,0.292786
0.136719,0.308446
0.140625,0.324396
0.144531,0.3406
0.148438,0.357015
0.152344,0.373597
0.15625,0.390297
0.160156,0.407067
0.164062,0.423851
0.167969,0.440595
0.171875,0.45724
0.175781,0.473727
0.179688,0.489995
0.183594,0.505982
0.1875,0.521625
0.191406,0.536861
0.195312,0.551627
0.199219,0.565861
0.203125,0.579501
0.207031,0.592486
0.210938,0.60476
0.214844,0.616267
0.21875,0.626953
0.222656,0.636768
0.226562,0.645666
0.230469,0.653605
0.234375,0.660546
0.238281,0.666456
0.242188,0.671305
0.246094,0.675071
0.25,0.677734
0.253906,0.679281
0.257812,0.679705
0.261719,0.679003
0.265625,0.677179
0.269531,0.674242
0.273438,0.670207
0.277344,0.665093
0.28125,0.658925
0.285156,0.651734
0.289062,0.643555
0.292969,0.634426
0.296875,0.624391
0.300781,0.613498
0.304688,0.601797
0.308594,0.589342
0.3125,0.576189
0.316406,0.562397
0.320312,0.548027
0.324219,0.53314
0.328125,0.517798
0.332031,0.502066
0.335938,0.486005
0.339844,0.46968
0.34375,0.453151
0.347656,0.43648
0.351562,0.419727
0.355469,0.402948
0.359375,0.3862
0.363281,0.369535
0.367188,0.353003
0.371094,0.336653
0.375,0.320529
0.378906,0.304671
0.382812,0.289119
0.386719,0.273906
0.390625,0.259064
0.394531,0.244621
0.398438,0.2306
0.402344,0.217023
0.40625,0.203907
0.410156,0.191266
0.414062,0.179112
0.417969,0.167453
0.421875,0.156293
0.425781,0.145636
0.429688,0.13548
0.433594,0.125824
0.4375,0.116663
0.441406,0.107989
0.445312,0.099795
0.449219,0.0920698
0.453125,0.0848019
0.457031,0.0779784
0.460938,0.0715851
0.464844,0.0656072
0.46875,0.0600289
0.472656,0.0548339
0.476562,0.0500055
0.480469,0.0455267
0.484375,0.0413804
0.488281,0.0375494
0.492188,0.0340167
0.496094,0.0307652
0.5,0.0277785
0.503906,0.0250401
0.507812,0.0225343
0.511719,0.0202457
0.515625,0.0181593
0.519531,0.016261
0.523438,0.014537
0.527344,0.0129742
0.53125,0.0115602
0.535156,0.0102833
0.539062,0.00913227
0.542969,0.00809663
0.546875,0.00716653
0.550781,0.00633277
0.554688,0.00558673
0.558594,0.00492042
0.5625,0.00432638
0.566406,0.00379776
0.570312,0.00332821
0.574219,0.00291187
0.578125,0.00254339
0.582031,0.00221786
0.585938,0.00193078
0.589844,0.00167808
0.59375,0.00145603
0.597656,0.00126127
0.601562,0.00109075
0.605469,0.000941722
0.609375,0.000811705
0.613281,0.000698479
0.617188,0.00060005
0.621094,0.000514636
0.625,0.000440649
0.628906,0.000376672
0.632812,0.00032145
0.636719,0.000273869
0.640625,0.000232944
0.644531,0.000197806
0.648438,0.000167689
0.652344,0.000141922
0.65625,0.000119915
0.660156,0.000101153
0.664062,8.51842e-05
0.667969,7.16175e-05
0.671875,6.01116e-05
0.675781,5.03705e-05
0.679688,4.21379e-05
0.683594,3.51923e-05
0.6875,2.93428e-05
0.691406,2.4425e-05
0.695312,2.02976e-05
0.699219,1.68397e-05
0.703125,1.39477e-05
0.707031,1.15332e-05
0.710938,9.5208e-06
0.714844,7.84651e-06
0.71875,6.45592e-06
0.722656,5.30295e-06
0.726562,4.34866e-06
0.730469,3.56018e-06
0.734375,2.90982e-06
0.738281,2.37432e-06
0.742188,1.93415e-06
0.746094,1.57296e-06
0.75,1.2771e-06
0.753906,1.03517e-06
0.757812,8.37671e-07
0.761719,6.76728e-07
0.765625,5.45799e-07
0.769531,4.3947e-07
0.773438,3.53267e-07
0.777344,2.83502e-07
0.78125,2.27136e-07
0.785156,1.81674e-07
0.789062,1.4507e-07
0.792969,1.15649e-07
0.796875,9.2041e-08
0.800781,7.31306e-08
0.804688,5.80089e-08
0.808594,4.59375e-08
0.8125,3.63177e-08
0.816406,2.86646e-08
0.820312,2.25866e-08
0.824219,1.77678e-08
0.828125,1.39538e-08
0.832031,1.09403e-08
0.835938,8.56332e-09
0.839844,6.69165e-09
0.84375,5.22037e-09
0.847656,4.0658e-09
0.851562,3.16132e-09
0.855469,2.45396e-09
0.859375,1.9017e-09
0.863281,1.47128e-09
0.867188,1.13638e-09
0.871094,8.76255e-10
0.875,6.74548e-10
0.878906,5.18409e-10
0.882812,3.97749e-10
0.886719,3.04664e-10
0.890625,2.32975e-10
0.894531,1.77859e-10
0.898438,1.35556e-10
0.902344,1.03142e-10
0.90625,7.83484e-11
0.910156,5.94157e-11
0.914062,4.4983e-11
0.917969,3.39994e-11
0.921875,2.56549e-11
0.925781,1.93261e-11
0.929688,1.45343e-11
0.933594,1.09123e-11
0.9375,8.17928e-12
0.941406,6.12043e-12
0.945312,4.57208e-12
0.949219,3.40958e-12
0.953125,2.53818e-12
0.957031,1.88601e-12
0.960938,1.39859e-12
0.964844,1.03474e-12
0.96875,7.63301e-13
0.972656,5.60765e-13
0.976562,4.09349e-13
0.980469,2.95574e-13
0.984375,2.09162e-13
0.988281,1.4217e-13
0.992188,8.83155e-14
0.996094,4.24313e-14
1,0
